rho, V, psi_0, psi_1, psi_2, psi_3, psi_4, psi_5, psi_6, psi_7, psi_8, psi_9, psi_10, psi_11, psi_12, psi_13, psi_14, psi_15, psi_16, psi_17, psi_18, psi_19, psi_20, psi_21, psi_22, psi_23, psi_24, psi_25, psi_26, psi_27, psi_28, psi_29, psi_30, psi_31, psi_32, psi_33, psi_34, psi_35, psi_36, psi_37, psi_38, psi_39, psi_40, psi_41, psi_42, psi_43, psi_44, psi_45, psi_46, psi_47, psi_48, psi_49, psi_50, psi_51, psi_52, psi_53, psi_54, psi_55, psi_56, psi_57, psi_58, psi_59, psi_60, psi_61, psi_62, psi_63, psi_64, psi_65, psi_66, psi_67, psi_68, psi_69, psi_70, psi_71, psi_72, psi_73, psi_74, psi_75, psi_76, psi_77, psi_78, psi_79, psi_80, psi_81, psi_82, psi_83, psi_84, psi_85, psi_86, psi_87, psi_88, psi_89, psi_90, psi_91, psi_92, psi_93, psi_94, psi_95, psi_96, psi_97, psi_98, psi_99, E
1, 3, 0.256602, 0.209346, 0.106339, 0.00164307, -0.0811964, -0.13373, 0.15576, 0.151485, 0.127142, 0.0895414, 0.0451596, -0.000376669, 0.0425516, 0.0780456, -0.104702, -0.121421, -0.128011, -0.125019, -0.11355, 0.0951079, -0.0714345, 0.0443437, 0.0154803, 0.0139702, -0.0432074, 0.0711406, 0.095916, 0.115204, 0.126772, 0.128914, -0.12072, -0.102241, 0.0745439, -0.0396754, 0.000511719, 0.0394827, 0.0765783, -0.10715, 0.128057, -0.136992, -0.132762, -0.115462, -0.0865177, -0.0485945, 0.005362, -0.0388553, 0.0795124, 0.112319, -0.133707, 0.141232, -0.133869, 0.112168, 0.0782358, -0.0355499, -0.0113814, -0.0574873, 0.0976768, -0.127401, 0.143174, -0.142991, -0.126593, 0.0955536, 0.0531504, 0.00405205, -0.0461682, -0.0916386, 0.126852, 0.147317, 0.150124, -0.134356, 0.101302, -0.0544266, 0.000896371, 0.057888, -0.109051, 0.146984, 0.165253, 0.159224, 0.126795, -0.068927, -0.0101863, 0.104304, -0.202708, -0.186203, -0.0571377, -0.010036, 0.00135368, -0.000142467, -1.17082e-05, 7.1204e-07, -1.2574e-09, 1.50401e-08, -1.16284e-08, 1.66071e-09, -3.1166e-09, 1.22988e-08, 0.000712895, 2.85582e-08, 2.82033e-09, 1.03549e-08, 44.4171,
1.1, 2.86289, 0.272163, 0.182265, 0.047295, -0.0668175, -0.137808, -0.163679, 0.152008, 0.114115, 0.061772, 0.00541449, -0.0467178, -0.0888522, 0.117598, 0.131656, -0.131422, -0.118562, -0.0955895, -0.065492, -0.0314036, -0.003657, 0.0370004, -0.0664661, -0.0906144, 0.108685, -0.119981, 0.123242, 0.117001, 0.100489, 0.0741648, 0.0398039, -0.000344352, 0.0404106, -0.0782034, 0.108811, -0.128564, 0.134831, 0.126407, -0.103748, 0.0690053, -0.0258599, 0.0208589, 0.0657127, 0.103301, 0.128934, -0.139247, -0.132673, 0.109704, 0.0729019, -0.0266381, -0.0234061, 0.0709287, -0.109803, -0.134878, 0.142677, -0.131904, -0.103675, 0.0614438, -0.0106058, -0.0421614, 0.0897581, 0.125608, -0.144568, -0.143677, -0.12264, -0.0839639, -0.0327195, -0.0240614, -0.0782909, -0.121918, 0.14808, -0.152162, 0.132599, 0.0913252, 0.0337634, 0.0316684, -0.0945028, -0.143546, -0.168439, -0.161296, 0.118227, -0.0405005, -0.0657323, 0.186908, 0.192527, 0.0644109, 0.0122366, -0.00176438, 0.000196948, 1.70765e-05, -1.1266e-06, -6.35612e-08, -1.62082e-08, 6.03658e-09, -1.61634e-08, 2.97966e-09, -1.01318e-09, -0.000335251, -2.67101e-08, -9.00638e-13, -5.5157e-09, 48.3026,
1.2, 2.82889, 0.281825, 0.143965, -0.016541, -0.125857, -0.169535, -0.157611, 0.108822, 0.0426597, -0.0244683, -0.0807533, -0.119166, -0.136923, 0.134611, 0.115207, -0.0831431, -0.0434854, -0.0012796, 0.0389395, 0.0734713, -0.0996361, 0.115847, -0.121607, -0.117376, 0.104074, -0.0823887, 0.0528499, 0.0168337, -0.022805, -0.0619782, -0.0960264, 0.120452, 0.131624, -0.127379, 0.107457, -0.0736852, 0.0298711, -0.0186018, 0.0654382, -0.104274, 0.129583, 0.137513, 0.126524, 0.0977167, 0.0547856, -0.00358261, 0.0486614, -0.0943574, -0.126676, 0.140599, -0.13373, 0.106747, -0.0633952, -0.0100041, -0.0454035, 0.0943042, 0.128985, -0.143773, 0.135996, -0.106491, 0.0595901, 0.00253531, 0.0555868, 0.105256, 0.138058, 0.148111, 0.133145, -0.0950429, -0.0397178, 0.0236804, -0.0841552, 0.130654, -0.153997, -0.148648, -0.114016, 0.0550444, 0.0180834, 0.0911574, 0.147999, 0.173151, -0.154886, 0.0881129, 0.0240219, -0.166667, -0.197692, -0.072648, -0.0149568, 0.00230547, -0.000272843, -2.49499e-05, 1.77467e-06, 1.24597e-07, 3.51649e-08, -2.08833e-08, 3.49018e-08, -8.9214e-09, 1.26103e-08, 0.000157699, 1.66075e-08, -1.51011e-08, -3.86213e-09, 52.1776,
1.3, 2.87343, 0.285505, 0.0968677, -0.0787083, -0.167205, -0.170722, -0.116929, 0.0374525, -0.0415187, -0.102453, -0.136519, -0.142108, -0.122792, 0.0852556, 0.037505, 0.0125461, 0.0580586, 0.0938582, 0.116689, 0.125203, -0.119759, 0.102103, -0.0749507, -0.0414267, 0.00439813, 0.033699, -0.0700469, -0.100772, -0.121468, -0.12834, -0.119187, 0.0940317, 0.055353, -0.00791135, -0.041825, 0.0865926, -0.119453, -0.134947, 0.130086, -0.10499, 0.0630464, 0.0105182, -0.0443577, -0.0926637, -0.126279, 0.139291, 0.129098, -0.0969778, -0.0480115, -0.00967105, 0.0662109, -0.1117, 0.137934, 0.139935, -0.116936, 0.0726605, 0.0147814, 0.0463546, -0.0995434, 0.134768, -0.145101, -0.128111, 0.0864789, 0.0276772, -0.0372753, -0.0957967, -0.136124, 0.149665, 0.13286, 0.0881697, -0.0239364, -0.0469477, 0.109389, 0.1491, 0.155727, -0.125515, 0.0629247, -0.0192435, -0.101436, -0.160619, 0.174912, -0.128997, 0.018846, 0.142393, 0.201577, 0.0819399, 0.0183052, -0.00301594, 0.00037827, 3.64747e-05, -2.7434e-06, -2.05035e-07, -2.98015e-08, 3.34655e-09, -8.48044e-09, -5.32667e-09, -2.3824e-08, -7.424e-05, -1.77083e-08, -6.6944e-09, 4.12279e-09, 56.0421,
1.4, 2.98041, 0.283431, 0.0439555, -0.13302, -0.185231, -0.14134, -0.0506944, -0.0435761, -0.113359, -0.145978, -0.141035, -0.106166, -0.0530079, -0.00604341, -0.0600983, 0.101095, 0.124327, 0.128371, 0.114607, 0.0865062, -0.0488342, 0.00686391, 0.0343673, 0.070729, -0.0992907, 0.117716, -0.123429, -0.114096, -0.089069, -0.0503406, -0.00263029, -0.0472142, -0.091292, 0.122022, -0.133574, 0.123101, -0.0914956, -0.0434959, -0.0129397, 0.0679296, -0.111423, -0.135101, -0.134058, -0.107903, -0.0610404, 0.0020137, -0.0580077, 0.107333, 0.136059, -0.138111, 0.112607, -0.0642046, 0.00233563, -0.0605735, 0.111574, -0.139873, -0.139156, 0.109067, -0.0554778, -0.0105605, 0.0750135, 0.123801, -0.145866, -0.135729, -0.0949217, -0.0319467, 0.0393306, -0.102586, -0.142677, -0.149241, 0.11944, -0.0591578, -0.0177794, -0.0923493, -0.144629, 0.158817, -0.127898, -0.0568127, 0.0368601, 0.125293, -0.17597, 0.159894, -0.0607855, -0.114519, -0.203942, -0.0923339, -0.022403, 0.0039448, -0.00052426, -5.32624e-05, 4.21072e-06, 2.9627e-07, 1.25924e-08, 8.29333e-09, 1.71721e-08, 9.61921e-09, 1.46733e-08, 3.4999e-05, 2.49039e-08, 1.61613e-08, -2.87653e-09, 59.8961,
1.5, 3.13889, 0.276092, -0.0115259, -0.174265, -0.177712, -0.086872, 0.0265387, -0.113435, -0.15169, -0.140635, -0.0928285, -0.0263999, 0.0407161, -0.0943788, -0.125908, 0.132265, 0.115252, 0.0801704, 0.0342997, -0.0145326, 0.0591402, -0.0938431, 0.115007, 0.121181, -0.112547, 0.0898915, -0.0545144, -0.00953173, 0.0392937, 0.0842036, 0.117006, -0.13088, -0.122015, 0.0907284, -0.0417965, -0.0161466, 0.0721064, 0.114863, -0.135329, 0.128613, -0.0953172, -0.0417037, 0.0213751, 0.0806314, 0.123158, -0.13931, -0.12499, 0.0827863, 0.0216387, 0.0449713, -0.101956, 0.136051, -0.138965, -0.10948, 0.0539754, 0.0148385, 0.0807529, -0.127841, 0.14433, -0.125612, 0.0756331, 0.00622205, 0.0655666, 0.121546, 0.146973, 0.134485, 0.086353, -0.0143646, 0.0627877, 0.124123, -0.151942, 0.136944, -0.0814982, 2.20081e-05, 0.0842562, -0.144835, 0.160079, 0.120549, 0.0343198, -0.0719877, 0.157666, -0.178157, 0.0996345, 0.0835695, 0.204446, 0.103824, 0.0273825, -0.005153, 0.000725634, 7.77322e-05, -6.4284e-06, -4.5577e-07, 8.19962e-09, -1.46638e-08, -3.46078e-08, -1.30813e-08, -1.72577e-08, -1.65245e-05, -1.97425e-08, 2.06628e-09, 3.90091e-09, 63.7395,
1.6, 3.34125, 0.264185, -0.066357, -0.198745, -0.146046, -0.0171623, 0.0980679, -0.154447, -0.14549, -0.0884982, -0.0101084, 0.0642101, 0.116134, -0.136623, -0.125363, 0.0886325, 0.0365672, -0.0195247, -0.0693499, -0.105128, 0.122366, -0.119986, 0.0999126, 0.066159, -0.0235253, -0.0231567, 0.0683037, 0.104862, 0.125401, 0.124337, 0.0999036, -0.0551961, 0.00194825, -0.0602601, 0.107324, -0.132374, 0.128955, 0.0967663, -0.0421628, -0.0229436, 0.0836239, 0.125391, 0.137766, 0.117057, 0.0675852, -0.000947252, 0.0666057, -0.118112, -0.140209, 0.126708, -0.0804498, 0.0128779, 0.0586785, 0.115396, -0.141923, 0.130621, 0.0838802, -0.0138124, -0.0607464, 0.119207, -0.144902, -0.129914, 0.0776547, 0.00234547, -0.0746316, -0.130647, -0.148432, 0.121503, 0.0567065, -0.0270726, 0.103991, -0.148898, 0.145463, 0.0923138, 0.00499276, 0.08744, -0.15089, -0.157902, -0.0992814, 0.00820658, -0.121694, 0.181983, -0.133216, -0.0502062, -0.20267, -0.116335, -0.0333842, 0.00671573, -0.00100222, -0.000113221, 9.7869e-06, 6.82441e-07, 9.00194e-09, 1.91609e-08, 2.19849e-08, -2.19501e-09, 1.74559e-08, 7.82184e-06, 1.19195e-08, 1.89384e-08, -9.41085e-09, 67.5722,
1.7, 3.58204, 0.248543, -0.117604, -0.204584, -0.0948869, 0.0555174, 0.148755, -0.156555, -0.0969291, -0.0071278, 0.0763456, 0.1286, 0.139615, -0.112475, -0.0590521, -0.00491217, -0.0641156, -0.106726, -0.125972, -0.120426, 0.093298, -0.051081, 0.00188865, -0.0462866, 0.0868189, -0.114306, 0.123748, 0.111373, 0.0769564, 0.0253599, -0.0337095, 0.0875577, 0.123447, -0.131894, 0.10946, -0.0601924, -0.00480423, -0.0697529, 0.11806, -0.136693, 0.119907, 0.0712033, 0.00285361, -0.0670594, -0.119404, 0.139315, 0.120569, -0.067693, 0.00491734, -0.0767954, 0.127137, -0.140879, 0.113342, 0.0519726, 0.0254813, -0.0959708, -0.137967, 0.1381, -0.0955593, 0.0227928, 0.0579143, 0.12111, -0.146167, -0.124114, -0.0610546, 0.0231532, 0.100825, -0.145346, -0.140295, -0.0857329, -0.000726758, 0.0889137, -0.14605, -0.148678, -0.0925186, -0.0036246, 0.102345, 0.160314, 0.146016, 0.0567885, 0.0717928, -0.170624, 0.159434, 0.0152719, 0.198147, 0.129711, 0.0405518, -0.00872428, 0.00138026, 0.000164498, -1.4913e-05, -1.08371e-06, -1.36239e-08, -5.05102e-08, -2.27399e-08, -2.29071e-10, -5.83765e-09, -3.72111e-06, -5.61453e-10, -2.14606e-08, 5.45028e-09, 71.3943,
1.8, 3.85728, 0.23007, -0.162821, -0.191797, -0.031324, 0.118743, 0.168239, -0.119659, -0.0204125, 0.0765775, 0.134808, 0.14083, 0.101045, -0.033978, 0.0380745, -0.0957042, -0.126405, -0.125927, -0.0975162, -0.049803, -0.00588265, 0.0581473, -0.0976977, -0.118684, 0.118713, -0.0976753, 0.0574685, 0.00360894, -0.0538482, -0.10192, -0.128102, 0.12416, 0.0890806, -0.0302051, -0.0380124, 0.0974961, -0.131475, -0.129476, 0.090843, -0.025574, -0.0480343, -0.108443, -0.137256, -0.125017, -0.0745467, 0.000599672, -0.0742773, 0.126576, 0.139291, -0.107631, 0.0410062, 0.0395428, -0.107858, -0.141153, 0.127727, -0.0712744, 0.00984693, -0.0883733, 0.137204, -0.138804, 0.0916853, 0.0115439, 0.073654, 0.133216, 0.144751, 0.102774, 0.0215667, 0.0691488, 0.134667, 0.148411, -0.102926, 0.0142725, 0.0826012, 0.146697, 0.147859, -0.0812959, -0.0268221, -0.126812, -0.16554, -0.113227, -0.013476, 0.144559, -0.176401, 0.0201823, -0.190391, -0.143695, -0.0490239, 0.011288, -0.0018942, -0.000238259, 2.26768e-05, 1.68738e-06, -3.4314e-08, 4.14678e-08, 5.38297e-10, -5.36352e-09, 7.26473e-09, 1.78772e-06, -9.7796e-09, 5.84547e-09, -8.99071e-09, 75.2057,
1.9, 4.16402, 0.209683, -0.200191, -0.162136, 0.0362375, 0.162111, 0.152947, -0.0533179, 0.0619286, 0.135433, 0.144259, 0.0963713, 0.0178744, 0.0608326, 0.115449, -0.133158, -0.113387, -0.0652797, -0.00350006, 0.0562014, -0.100661, 0.121652, -0.116762, -0.088758, 0.0437027, 0.0107555, -0.0651625, -0.107847, -0.127189, -0.115763, -0.073843, 0.0106156, -0.0574859, 0.111084, -0.133647, 0.116985, -0.0645786, 0.00864054, -0.0803234, 0.127538, -0.134312, -0.097347, -0.0277915, 0.0518371, 0.114829, -0.139315, -0.11607, 0.0522548, -0.0304888, 0.103202, -0.139733, 0.126286, -0.0668732, 0.0175489, -0.096247, 0.139827, 0.131308, -0.0729799, -0.0137976, 0.0961215, -0.141882, -0.132357, 0.0701477, -0.0209804, -0.104745, -0.146562, -0.127896, 0.054855, -0.0429867, -0.123859, 0.151233, -0.11048, 0.0173178, -0.0866988, -0.151309, 0.14118, -0.0558526, 0.064511, 0.15371, 0.152256, -0.0464617, -0.105589, 0.182591, -0.0548875, 0.178947, 0.15791, 0.0589228, -0.0145355, 0.0025889, 0.000343845, -3.44166e-05, -2.66304e-06, 1.191e-07, -3.18008e-08, 4.10175e-09, 3.68593e-09, -6.89467e-09, -8.51487e-07, 1.12333e-08, 2.36685e-09, 4.83553e-09, 79.0064,
2, 4.5, 0.188255, -0.228585, -0.118756, 0.0992949, 0.178914, 0.106554, 0.0259642, 0.126807, 0.150794, 0.101745, 0.0134442, -0.0731254, 0.12664, 0.133318, -0.0968478, -0.0332001, 0.0365408, 0.0928573, 0.122468, -0.12044, 0.0899063, -0.0399835, 0.0173929, -0.0705169, 0.109114, -0.124116, -0.109339, -0.0652268, -0.00115137, 0.0658566, -0.11573, -0.13184, 0.107111, -0.0474734, -0.0289581, 0.0971785, 0.133583, -0.124479, 0.0716618, 0.00730616, 0.0846475, 0.132113, 0.131503, 0.0819794, -0.00114746, 0.0809167, -0.132774, -0.133797, 0.0826585, 0.00144733, -0.0857221, 0.136445, 0.132569, -0.074726, -0.0142924, -0.0982062, 0.141905, -0.126253, 0.0567786, 0.0377758, 0.116968, -0.145819, -0.110435, -0.0251273, 0.0727224, 0.138539, -0.14075, -0.0763061, 0.0260909, -0.11771, 0.152297, -0.109533, -0.00787912, 0.101149, -0.157109, 0.123446, 0.0126567, -0.112248, -0.167365, 0.100655, 0.0568396, -0.177012, 0.0873715, -0.163434, -0.17185, -0.0703385, 0.0186145, -0.00352192, -0.000494174, 5.20858e-05, 4.1931e-06, -2.28398e-07, 1.05693e-08, 2.30919e-09, -1.39137e-08, 1.64815e-09, 4.05393e-07, -1.04219e-08, 5.10375e-09, 7.93089e-09, 82.7977,
2.1, 4.86351, 0.166579, -0.24756, -0.0657589, 0.150372, 0.16705, 0.0388823, 0.0990389, 0.156389, 0.118276, 0.022952, -0.0748004, -0.13236, 0.132528, 0.0829574, -0.00723948, 0.0665341, 0.115447, 0.127436, 0.102588, -0.0509215, -0.0119074, 0.0694694, 0.10867, -0.121727, 0.105685, -0.062233, 0.000256691, 0.0658857, 0.114734, 0.129596, -0.102933, -0.0410586, -0.0365402, 0.103108, -0.134056, 0.116542, 0.0553449, 0.0277436, -0.101381, 0.136554, 0.118346, 0.0527191, -0.0349051, -0.109225, 0.139306, 0.111736, -0.0369894, 0.0541157, -0.122903, 0.139298, -0.0952514, 0.00904243, -0.081915, 0.137125, -0.131132, -0.0655805, -0.0305936, 0.113543, -0.144367, 0.10755, 0.0192125, 0.0793333, 0.14049, 0.13335, 0.0597473, -0.0450316, 0.128352, 0.146306, 0.0871946, 0.0200678, -0.118582, 0.15262, 0.0992858, -0.0147831, 0.123555, -0.157259, -0.0868616, 0.0487393, 0.15557, -0.142037, -0.00261895, 0.15938, -0.116002, 0.14361, 0.184864, 0.0833092, -0.0236908, 0.00476634, 0.000707017, -7.85123e-05, -6.58649e-06, 4.10458e-07, 2.43311e-08, -1.4121e-08, 1.03282e-08, 1.46564e-09, -2.20915e-07, 2.03683e-08, -1.28343e-08, -4.68356e-09, 86.5837,
2.2, 5.25322, 0.14533, -0.257299, -0.00769294, 0.183891, 0.129069, -0.0364033, 0.148822, 0.14305, 0.0486646, -0.063936, -0.13375, -0.134615, 0.0762289, -0.00953671, 0.0863246, 0.127355, 0.122408, 0.0777272, 0.0109453, 0.056153, -0.104487, 0.122423, 0.107441, -0.0646439, 0.00408023, 0.0599961, 0.109593, 0.127406, 0.104171, 0.0443616, 0.0332195, 0.10099, -0.132683, 0.114202, -0.050591, -0.034407, -0.106857, 0.136306, -0.109061, 0.0351304, -0.0548274, -0.121961, -0.136133, -0.089872, 0.00274453, -0.0864665, 0.136882, 0.124451, -0.0538439, -0.0427196, 0.119835, -0.140242, -0.0931158, 0.000246797, 0.0935511, 0.141842, -0.119695, 0.0369915, 0.0653295, -0.135101, -0.135478, 0.0648019, -0.0410518, -0.126161, -0.143815, -0.0825057, -0.0258184, -0.121223, -0.148281, 0.088584, 0.0255941, -0.126661, -0.150344, -0.0769314, -0.0506035, 0.147425, 0.140395, 0.0245317, -0.118163, 0.164787, -0.051864, -0.130276, 0.139064, -0.11944, -0.196164, -0.097797, 0.0299439, -0.00641359, -0.00100654, 0.000117839, 1.03535e-05, -6.71868e-07, -5.63209e-08, 9.34409e-09, -1.92274e-09, -6.83108e-09, 1.12321e-07, -2.81722e-08, 4.33177e-09, 6.04561e-09, 90.3792,
2.3, 5.66807, 0.125059, -0.258507, 0.050934, 0.196702, 0.0714459, -0.104712, 0.164221, 0.0910442, -0.0360068, -0.12854, -0.140873, -0.0794771, -0.0155243, -0.0972268, 0.133077, 0.114219, 0.0535931, -0.0230688, -0.0883087, 0.122046, -0.116477, 0.0763166, 0.0151972, 0.0496809, -0.101298, 0.124297, 0.108465, 0.0548808, -0.0207675, -0.0916833, 0.1297, 0.117357, -0.0568688, -0.0287258, 0.103825, -0.135217, -0.107389, 0.0309284, 0.0606965, -0.125491, -0.132389, -0.0767123, 0.0162817, 0.102358, -0.139263, -0.1078, 0.022353, -0.075091, 0.135304, -0.126818, 0.0528307, 0.0492695, 0.126376, -0.137258, 0.0749764, -0.0282108, 0.116993, -0.14247, 0.0893813, 0.0141458, 0.110747, -0.145241, -0.0963956, 0.00925835, 0.11078, 0.147353, -0.0949531, 0.0168565, 0.119983, -0.14827, 0.0802929, 0.0428736, 0.139682, 0.14049, -0.0386937, -0.0960622, -0.159933, -0.0927872, 0.0608102, -0.165237, 0.100937, 0.0912525, -0.154873, 0.0911582, 0.20483, 0.11366, -0.0375604, 0.00857624, 0.00142532, -0.000176002, -1.62201e-05, 1.10795e-06, 6.8244e-08, -2.75678e-08, -1.95854e-08, -6.25326e-09, -3.72553e-08, 2.70779e-08, 4.85079e-09, -2.89771e-10, 94.2173,
2.4, 6.10722, 0.106177, -0.252279, 0.10607, 0.188226, 0.00326325, -0.153411, 0.142402, 0.0148289, -0.109693, -0.148909, -0.094028, 0.00919632, -0.100125, -0.136367, 0.108248, 0.035256, -0.0481626, -0.108804, -0.126543, 0.0989682, -0.0391396, -0.0312062, -0.0898535, 0.120232, -0.113441, 0.0691312, -0.00151352, -0.0751438, -0.122995, -0.123119, 0.0718545, -0.0118115, 0.0923981, -0.133038, 0.113088, -0.039578, 0.0540833, -0.122858, 0.13197, -0.0752005, 0.0203383, 0.106532, 0.138432, 0.0981426, -0.00553041, 0.0909003, -0.139174, -0.112125, 0.0232776, 0.0792112, -0.138305, 0.119972, 0.0333279, 0.0731324, -0.138228, -0.123312, 0.0357589, 0.0737944, -0.140166, 0.122421, 0.0297283, 0.082281, 0.144169, 0.115736, 0.0129455, -0.0995897, 0.148233, 0.0986092, -0.0188322, 0.125346, -0.14536, 0.0606766, -0.0710623, -0.152014, 0.115322, 0.0172173, 0.140043, 0.141664, 0.00707339, 0.142601, -0.139039, -0.0448812, 0.161926, -0.059339, -0.209846, -0.130622, 0.046722, -0.0113905, -0.00200669, 0.000261552, 2.53623e-05, -1.83972e-06, -1.10086e-07, 9.46772e-09, 2.12456e-08, 1.77188e-08, -3.96408e-09, -2.19814e-08, -7.64429e-09, -1.6664e-09, 98.1485,
2.5, 6.57, 0.088966, -0.239961, 0.154426, 0.16025, -0.0653866, -0.174091, 0.0889674, -0.0652609, -0.150423, -0.118721, -0.0115957, 0.0940319, -0.139062, -0.108043, 0.0256951, -0.0638627, -0.120538, -0.124008, -0.0779234, 0.00420154, 0.0680328, -0.11376, -0.119599, 0.0854028, -0.0216958, -0.0521595, -0.10998, -0.126787, -0.0912888, -0.0146477, -0.0711552, -0.126387, 0.12275, -0.0591247, -0.0352293, 0.113378, 0.134217, -0.0849197, -0.0102752, 0.10113, 0.137781, 0.0986311, 0.00390475, -0.0939736, 0.139127, 0.104482, -0.00872666, 0.0929775, -0.140454, 0.104392, -0.0051194, -0.0980713, -0.141989, 0.0984998, 0.00675083, 0.108637, -0.142483, 0.0854288, 0.027328, -0.123315, -0.138996, 0.0622979, -0.0571602, -0.13904, -0.126013, -0.0247427, -0.0954639, -0.148692, -0.0938404, -0.0320042, 0.135855, -0.135977, -0.0273716, 0.106531, -0.15366, 0.0666329, -0.0849812, -0.1603, -0.0736993, -0.0993819, 0.161385, -0.00531198, -0.159074, 0.0249422, 0.210152, 0.148243, -0.0575894, 0.0150173, 0.00280768, -0.000386595, -3.94957e-05, 2.98628e-06, 1.76837e-07, -1.3885e-08, -1.22646e-08, 4.86982e-11, 2.16315e-08, 6.91593e-09, -8.22818e-10, 1.72275e-09, 102.221,
2.6, 7.05586, 0.0735877, -0.223017, 0.193662, 0.116453, -0.124993, -0.16382, 0.0162131, -0.128616, -0.146689, -0.048803, 0.0751689, 0.140082, -0.115251, -0.0267933, -0.0704352, -0.126782, -0.119968, -0.0594267, 0.0238006, -0.0935882, 0.123676, -0.105843, -0.0496905, -0.0238645, 0.0898125, -0.123812, -0.109119, -0.0467952, 0.0393817, 0.110397, -0.130175, -0.0854283, -0.00427844, 0.0937083, -0.134628, 0.102689, 0.0131484, 0.0851261, -0.135946, 0.108452, 0.0168626, -0.0857598, -0.137844, -0.106627, 0.00963339, -0.0942064, 0.139986, 0.0977449, 0.00711998, -0.108259, 0.140046, -0.0805559, 0.0324994, -0.124857, 0.134269, 0.0529853, 0.0651123, -0.139414, 0.117544, -0.013052, 0.101677, -0.144778, -0.0835654, 0.0395, 0.134724, 0.129932, -0.0260653, 0.099461, 0.148644, -0.0794722, -0.0559949, 0.147309, 0.114189, -0.0205813, 0.140232, -0.130788, 0.00816264, 0.143937, 0.126863, 0.0413346, -0.164658, 0.055027, 0.145718, 0.0106591, -0.20472, -0.165891, 0.0702795, -0.0196426, -0.0039023, 0.000568106, 6.11514e-05, -4.84915e-06, -2.83783e-07, -9.6959e-09, 7.69933e-10, -1.843e-08, -7.31967e-09, 2.97965e-09, -1.17406e-09, -1.0891e-08, 106.463,
2.7, 7.56435, 0.0600994, -0.202907, 0.222446, 0.06175, -0.167947, -0.125258, -0.0599795, -0.159645, -0.100341, 0.037199, 0.134232, 0.129066, -0.040023, 0.0674454, -0.129706, -0.118481, -0.047408, 0.0430862, 0.109426, -0.124517, 0.0862736, -0.0142893, 0.061369, -0.112453, 0.119965, -0.0782683, -0.000340587, 0.0815425, 0.12756, 0.11109, -0.0362006, 0.060226, -0.125844, 0.121936, -0.0477708, -0.0556948, -0.127564, 0.123176, -0.0430168, -0.0649206, -0.133142, -0.117129, -0.0253761, 0.0838044, -0.138794, -0.10198, -0.00358719, -0.107598, 0.13895, -0.0748182, -0.0418001, 0.130038, 0.127088, -0.03357, -0.0848024, -0.142668, 0.0967171, 0.020949, -0.124032, 0.134825, 0.0433886, 0.082206, 0.145335, 0.095139, -0.03118, -0.133931, 0.128688, 0.0167067, -0.111025, 0.145512, -0.0531486, -0.088592, -0.151963, -0.0732916, -0.0788472, 0.155621, 0.0707871, -0.0954163, -0.156207, 0.0230902, 0.147635, -0.0995091, -0.122, -0.0456914, 0.192657, 0.182727, -0.0848367, 0.025474, 0.00538524, -0.000829694, -9.41902e-05, 7.85622e-06, 4.56291e-07, 1.67843e-08, 8.56123e-09, 3.46305e-08, 6.14691e-09, 1.00452e-08, -3.95795e-09, 4.98733e-09, 110.879,
2.8, 8.0951, 0.0484736, -0.180993, 0.240404, 0.00159175, -0.189418, -0.065729, -0.123771, -0.151397, -0.0253758, 0.111139, 0.144539, 0.0661552, 0.0528481, 0.129346, -0.121787, -0.0442521, 0.0533491, 0.118326, 0.121614, -0.0671485, -0.0155772, 0.0884795, 0.121931, -0.104194, 0.042085, 0.0409466, 0.108773, 0.126067, 0.0787786, -0.0127614, 0.100128, 0.132391, -0.0873696, -0.0113295, 0.104923, -0.13427, -0.0783731, -0.0291164, 0.118855, -0.130472, -0.0541948, 0.0598744, 0.133756, 0.115065, -0.015169, 0.0963735, -0.13969, -0.0822215, -0.0357478, 0.128301, -0.126264, 0.0296427, -0.0900974, 0.142136, -0.0854232, 0.0378893, -0.132579, 0.12354, -0.0161606, -0.105123, -0.142246, 0.0631636, -0.0690157, -0.144733, -0.0985096, 0.0329149, -0.137282, -0.121542, 0.0037861, -0.127586, 0.134216, -0.0127225, 0.123663, 0.138562, -0.00991956, -0.132839, -0.130879, 0.0250713, 0.155394, -0.0838299, -0.111629, 0.134, 0.0889577, 0.0780422, -0.173332, -0.197697, 0.101197, -0.0327344, -0.00737546, 0.00120381, 0.000144254, -1.2687e-05, -7.73852e-07, -4.93225e-08, -1.52229e-08, -4.72894e-08, -1.10651e-08, -1.68988e-08, 1.4206e-08, -2.98293e-09, 115.464,
