rho, V, psi_0, psi_1, psi_2, psi_3, psi_4, psi_5, psi_6, psi_7, psi_8, psi_9, psi_10, psi_11, psi_12, psi_13, psi_14, psi_15, psi_16, psi_17, psi_18, psi_19, psi_20, psi_21, psi_22, psi_23, psi_24, psi_25, psi_26, psi_27, psi_28, psi_29, psi_30, psi_31, psi_32, psi_33, psi_34, psi_35, psi_36, psi_37, psi_38, psi_39, psi_40, psi_41, psi_42, psi_43, psi_44, psi_45, psi_46, psi_47, psi_48, psi_49, psi_50, psi_51, psi_52, psi_53, psi_54, psi_55, psi_56, psi_57, psi_58, psi_59, psi_60, psi_61, psi_62, psi_63, psi_64, psi_65, psi_66, psi_67, psi_68, psi_69, psi_70, psi_71, psi_72, psi_73, psi_74, psi_75, psi_76, psi_77, psi_78, psi_79, psi_80, psi_81, psi_82, psi_83, psi_84, psi_85, psi_86, psi_87, psi_88, psi_89, psi_90, psi_91, psi_92, psi_93, psi_94, psi_95, psi_96, psi_97, psi_98, psi_99, psi_100, psi_101, psi_102, psi_103, psi_104, psi_105, psi_106, psi_107, psi_108, psi_109, psi_110, psi_111, psi_112, psi_113, psi_114, psi_115, psi_116, psi_117, psi_118, psi_119, psi_120, psi_121, psi_122, psi_123, psi_124, psi_125, psi_126, psi_127, psi_128, psi_129, psi_130, psi_131, psi_132, psi_133, psi_134, psi_135, psi_136, psi_137, psi_138, psi_139, psi_140, psi_141, psi_142, psi_143, psi_144, psi_145, psi_146, psi_147, psi_148, psi_149, psi_150, psi_151, psi_152, psi_153, psi_154, psi_155, psi_156, psi_157, psi_158, psi_159, psi_160, psi_161, psi_162, psi_163, psi_164, psi_165, psi_166, psi_167, psi_168, psi_169, psi_170, psi_171, psi_172, psi_173, psi_174, psi_175, psi_176, psi_177, psi_178, psi_179, psi_180, psi_181, psi_182, psi_183, psi_184, psi_185, psi_186, psi_187, psi_188, psi_189, psi_190, psi_191, psi_192, psi_193, psi_194, psi_195, psi_196, psi_197, psi_198, psi_199, E
0, inf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.59877,
0.1, 10.0001, 0.00546828, -0.00877377, 0.0114252, -0.0136268, 0.0155032, 0.0171375, 0.01861, 0.0200979, 0.0219344, -0.0242697, -0.0269057, 0.0296464, -0.0324158, -0.0351927, 0.037968, -0.0407349, 0.0434874, -0.0462192, 0.0489244, -0.051597, 0.0542333, 0.0568273, -0.0593749, -0.0618715, 0.0643145, 0.066699, -0.0690227, 0.0712818, -0.0734736, -0.0755945, -0.0776432, -0.0796172, 0.0815123, 0.083328, -0.0850616, -0.0867118, 0.0882758, 0.0897528, -0.0911409, 0.0924381, 0.0936441, -0.094756, -0.0957743, -0.096698, 0.097525, -0.0982551, -0.0988872, 0.0994218, 0.0998575, 0.100194, -0.100431, -0.100568, -0.100606, -0.100545, -0.100383, 0.100123, 0.0997637, 0.0993058, 0.0987504, 0.0980969, 0.0973475, 0.0965018, -0.0955614, 0.0945272, 0.0934, 0.0921815, -0.0908726, -0.0894747, 0.0879895, -0.086418, 0.0847623, -0.083024, 0.0812049, -0.0793067, 0.0773316, -0.0752812, 0.0731581, -0.0709641, 0.0687014, 0.0663725, 0.0639793, -0.0615249, 0.0590112, -0.0564409, -0.0538166, 0.0511409, -0.0484163, -0.0456459, -0.042832, 0.0399777, 0.0370857, 0.034159, -0.0312003, -0.0282126, -0.025199, 0.0221622, 0.0191053, 0.0160315, 0.0129435, 0.00984459, 0.00673764, 0.00362577, 0.000512029, 0.00260064, -0.00570896, -0.00881024, -0.0119012, 0.0149789, -0.0180404, 0.0210826, -0.0241028, -0.0270978, -0.0300648, -0.033001, -0.0359035, -0.0387694, 0.0415963, 0.0443811, 0.0471212, 0.0498143, 0.0524572, 0.0550481, 0.0575839, -0.0600626, 0.0624816, -0.0648389, -0.0671318, -0.0693585, 0.0715169, 0.0736047, -0.0756201, 0.0775614, 0.0794266, 0.081214, -0.0829218, 0.0845486, 0.0860929, -0.087553, -0.0889279, 0.0902165, -0.0914173, 0.0925292, 0.0935514, -0.0944829, -0.0953231, 0.0960708, -0.0967263, -0.097288, -0.0977562, 0.0981301, 0.0984093, -0.0985946, 0.0986854, 0.0986813, 0.0985823, -0.0983889, -0.0981027, 0.097722, -0.0972484, 0.096682, -0.0960238, -0.0952743, 0.0944345, -0.093505, 0.0924873, -0.0913813, -0.0901904, 0.0889131, 0.0875522, 0.0861088, 0.0845845, -0.0829802, -0.0812978, -0.0795389, 0.0777053, -0.075798, -0.073819, 0.0717706, -0.069654, -0.0674702, -0.0652222, 0.0629107, -0.0605378, 0.0581038, -0.0556113, 0.0530606, 0.0504524, 0.0477873, 0.045065, 0.0422859, -0.0394524, 0.0365761, -0.0337757, -0.0331844, 0.0277819, 0.00368955, 0.000135096, 2.6866e-06, 1.19214e-07, 1.7612e-07, 0.968165,
0.2, 5.0004, 0.00856586, -0.013704, 0.0177922, -0.0211565, 0.0239959, 0.0264434, 0.0286256, 0.0308162, 0.0335208, -0.0369565, -0.0408067, 0.0447639, -0.048706, -0.052596, 0.0564151, -0.0601485, 0.0637823, -0.0673032, 0.0706981, -0.0739547, 0.0770636, 0.0800133, -0.0827947, -0.0853986, 0.0878194, 0.0900478, -0.0920791, 0.0939069, -0.0955267, -0.096933, -0.0981238, -0.0990961, 0.0998449, 0.100371, -0.100671, -0.100746, 0.100595, 0.100218, -0.0996167, 0.0987916, 0.0977457, -0.0964799, -0.0949988, -0.0933059, 0.091404, -0.0892981, -0.0869928, 0.0844944, 0.0818078, 0.0789391, -0.0758953, -0.0726833, -0.0693104, -0.0657842, -0.0621128, 0.0583047, 0.0543681, 0.0503123, 0.0461465, 0.0418795, 0.0375217, 0.0330822, -0.0285715, 0.0239994, 0.0193761, 0.014712, -0.0100176, -0.00530325, 0.000579431, 0.00414329, -0.0088545, 0.0135437, -0.0182007, 0.022815, -0.0273764, 0.0318749, -0.0363008, 0.040644, -0.0448953, -0.0490451, -0.0530843, 0.0570046, -0.0607967, 0.0644528, 0.0679647, -0.071325, 0.0745261, 0.0775614, 0.0804242, -0.0831083, -0.085608, -0.0879178, 0.0900331, 0.0919488, 0.0936614, -0.0951673, -0.096463, -0.097546, -0.0984142, -0.0990656, -0.0994992, -0.0997139, -0.0997104, 0.0994875, -0.0990466, -0.0983887, -0.0975155, 0.0964294, -0.0951324, 0.0936278, -0.091919, -0.09001, -0.087905, -0.085609, -0.083127, -0.0804647, 0.0776282, 0.0746236, 0.0714576, 0.0681376, 0.0646706, 0.0610647, 0.0573275, -0.0534676, 0.0494934, -0.0454137, -0.0412373, -0.0369738, 0.0326323, 0.0282223, -0.0237536, 0.019236, 0.0146793, 0.0100935, -0.00548853, 0.000874441, -0.00373854, 0.00834068, 0.0129219, -0.0174721, 0.0219817, -0.0264408, -0.03084, 0.0351695, 0.0394203, -0.043583, 0.0476491, 0.0516095, 0.0554562, -0.0591808, -0.0627749, 0.066232, -0.0695443, -0.0727046, -0.0757062, 0.078543, 0.0812101, -0.0837005, 0.08601, -0.0881335, 0.0900671, 0.0918065, -0.0933486, 0.0946901, -0.0958288, 0.0967618, 0.0974893, -0.0980075, -0.0983172, -0.0984179, -0.0983095, 0.0979922, 0.0974673, 0.0967363, -0.0958011, 0.0946632, 0.0933255, -0.0917915, 0.0900641, 0.0881456, 0.086042, -0.0837558, 0.0812923, -0.0786543, 0.0758477, -0.0728761, -0.0697436, -0.0664544, -0.0630115, -0.0594192, 0.0556846, -0.0518281, 0.0480226, 0.0473148, -0.0396792, -0.00527988, -0.000194045, -3.86845e-06, -1.57788e-07, -2.26252e-07, 1.34638,
0.3, 3.33423, 0.0118977, -0.0189584, 0.0245129, -0.0290255, 0.0327808, 0.0359685, 0.0387666, 0.0415475, 0.0449835, -0.0493426, -0.054175, 0.0590534, -0.0638051, -0.0683728, 0.0727245, -0.0768342, 0.080678, -0.0842332, 0.0874791, -0.0903965, 0.092971, 0.0951867, -0.0970318, -0.0984955, 0.0995722, 0.100253, -0.100537, 0.10042, -0.0999025, -0.0989851, -0.097673, -0.0959711, 0.0938839, 0.0914222, -0.0885949, -0.0854144, 0.0818926, 0.0780449, -0.0738864, 0.0694339, 0.064706, -0.0597208, -0.0544996, -0.0490636, 0.0434339, -0.0376337, -0.031686, 0.0256151, 0.019445, 0.0132004, -0.00690636, -0.000588098, 0.00572948, 0.012021, 0.0182616, -0.0244267, -0.0304914, -0.0364322, -0.0422256, -0.0478483, -0.0532788, -0.0584952, 0.0634773, -0.0682056, -0.0726615, -0.0768278, 0.080688, 0.0842273, -0.087432, 0.0902893, -0.0927887, 0.0949204, -0.0966765, 0.09805, -0.0990362, 0.0996309, -0.0998329, 0.099641, -0.0990565, -0.098082, -0.0967213, 0.0949808, -0.0928667, 0.0903883, 0.0875552, -0.0843789, 0.0808719, 0.0770486, 0.0729237, -0.0685141, -0.0638369, -0.0589108, 0.0537551, 0.0483902, 0.0428375, -0.0371185, -0.0312558, -0.0252724, -0.0191919, -0.013038, -0.00683479, -0.000606534, 0.00562239, -0.0118278, 0.0179852, 0.024071, 0.0300613, -0.0359329, 0.0416631, -0.0472293, 0.0526104, 0.0577854, 0.0627343, 0.067438, 0.0718785, 0.0760385, -0.0799025, -0.0834553, -0.0866834, -0.0895748, -0.0921181, -0.0943042, -0.0961245, 0.0975726, -0.0986429, 0.0993318, 0.0996366, 0.0995568, -0.0990931, -0.0982472, 0.0970231, -0.0954259, -0.0934618, -0.091139, 0.0884666, -0.0854553, -0.0821174, 0.0784655, 0.0745142, -0.0702795, 0.0657775, -0.0610259, -0.0560433, 0.0508491, 0.0454635, -0.0399075, 0.0342027, 0.0283709, 0.0224348, -0.0164171, -0.0103413, 0.00423062, 0.00189164, 0.00800206, 0.0140771, -0.0200936, -0.0260289, 0.0318604, -0.0375659, 0.0431238, -0.0485135, -0.0537144, 0.0587072, -0.0634733, 0.067995, -0.0722552, -0.0762395, 0.0799314, 0.0833187, 0.0863891, 0.0891314, -0.0915356, -0.0935935, -0.0952982, 0.0966441, -0.097626, -0.098241, 0.0984884, -0.098367, -0.0978767, -0.0970217, 0.0958035, -0.0942279, 0.0922984, -0.0900232, 0.0874084, 0.0844615, 0.081191, 0.0776046, 0.0737119, -0.069527, 0.0650809, -0.0605981, -0.0599469, 0.0503954, 0.00672466, 0.000248382, 4.95377e-06, 1.67016e-07, 2.65859e-07, 1.72978,
0.4, 2.5016, 0.015456, -0.0245035, 0.0315168, -0.0371186, 0.0416919, 0.0454921, 0.0487545, 0.0519503, 0.0559056, -0.0609163, -0.0663849, 0.071759, -0.0768127, -0.081466, 0.0856728, -0.0893957, 0.092602, -0.095263, 0.0973539, -0.0988546, 0.0997523, 0.100036, -0.0996992, -0.0987423, 0.0971711, 0.0949916, -0.0922183, 0.0888673, -0.0849594, -0.0805184, -0.0755735, -0.0701559, 0.0642979, 0.0580386, -0.0514166, -0.0444744, 0.0372551, 0.0298048, -0.0221701, 0.0143991, 0.00654043, 0.00135648, 0.00924234, 0.0170677, -0.0247839, 0.0323427, 0.0396971, -0.0468019, -0.0536126, -0.0600869, 0.0661853, 0.0718697, 0.0771056, 0.0818604, 0.0861052, -0.0898142, -0.0929644, -0.0955371, -0.097517, -0.0988912, -0.0996533, -0.0997976, 0.0993243, -0.0982367, -0.0965419, -0.094251, 0.0913783, 0.087942, -0.0839639, 0.0794684, -0.074484, 0.0690415, -0.0631749, 0.0569204, -0.0503169, 0.0434051, -0.0362278, 0.0288293, -0.0212551, -0.013552, -0.00576724, -0.00205131, 0.00985554, -0.0175976, -0.0252301, 0.0327063, -0.0399803, -0.0470079, -0.053746, 0.0601536, 0.0661915, 0.071823, -0.0770141, -0.0817327, -0.0859509, 0.0896429, 0.0927863, 0.0953622, 0.0973555, 0.0987539, 0.0995495, 0.0997373, 0.0993177, -0.098292, 0.0966677, 0.0944547, 0.091667, -0.0883221, 0.08444, -0.0800452, 0.0751644, 0.0698277, 0.0640679, 0.0579199, 0.0514217, 0.0446126, -0.0375344, -0.03023, -0.022744, -0.0151219, -0.00740993, 0.000345138, 0.00809626, -0.0157965, 0.0233993, -0.0308587, -0.0381296, -0.0451682, 0.0519324, 0.0583811, -0.0644758, 0.0701801, 0.0754597, 0.0802831, -0.0846216, 0.0884494, 0.0917441, -0.094486, -0.096659, 0.0982512, -0.0992531, 0.099659, 0.0994674, -0.09868, -0.0973019, 0.0953422, -0.0928135, -0.089731, -0.0861143, 0.0819852, 0.077369, -0.0722948, 0.0667928, 0.0608961, 0.0546407, -0.0480643, -0.0412075, 0.0341101, -0.0268155, 0.0193674, -0.01181, -0.00418856, -0.00345155, 0.0110651, -0.0186069, 0.0260325, 0.0332985, -0.0403615, -0.0471808, -0.0537165, -0.0599307, 0.0657871, 0.0712523, 0.0762952, -0.080887, 0.0850013, 0.0886152, -0.0917092, 0.0942658, 0.0962701, 0.0977133, -0.0985859, 0.0988848, -0.0986067, 0.0977546, -0.0963317, -0.0943443, -0.0918014, -0.0887136, -0.0850944, 0.0809643, -0.076365, 0.0715689, 0.0711796, -0.0600309, -0.00804007, -0.00029888, -5.96984e-06, -1.70745e-07, -2.86147e-07, 2.11648,
0.5, 2.0025, 0.0192312, -0.0303021, 0.0387274, -0.0453129, 0.0505555, 0.054787, 0.0583065, 0.0616831, 0.0658768, -0.0711832, -0.0768441, 0.0821818, -0.086919, -0.0909551, 0.0942338, -0.0967125, 0.0983577, -0.0991444, 0.0990571, -0.0980885, 0.096244, 0.0935345, -0.0899814, -0.085614, 0.0804725, 0.0746, -0.068051, 0.0608836, -0.053163, -0.0449589, -0.0363465, -0.0274039, 0.0182112, 0.008853, 0.000586462, 0.0100216, -0.0193671, -0.0285388, 0.0374541, -0.0460325, -0.0541974, 0.0618746, 0.0689965, 0.0754993, -0.0813245, 0.0864203, 0.0907412, -0.0942504, -0.0969157, -0.0987137, 0.0996295, 0.0996552, 0.0987913, 0.0970458, 0.0944348, -0.0909825, -0.0867197, -0.0816852, -0.0759244, -0.0694882, -0.0624356, -0.0548284, 0.0467353, -0.0382284, -0.0293832, -0.0202789, 0.0109961, 0.00161732, 0.00777418, -0.0170949, 0.0262625, -0.0351957, 0.0438156, -0.0520459, 0.059814, -0.0670512, 0.0736942, -0.079684, 0.0849684, 0.0895006, 0.0932409, -0.0961574, 0.0982237, -0.0994227, -0.0997438, 0.0991848, -0.0977506, -0.0954549, -0.0923177, 0.0883675, 0.0836393, 0.0781748, -0.0720228, -0.0652375, -0.0578793, 0.0500127, 0.0417074, 0.0330365, 0.0240765, 0.0149062, 0.00560624, -0.00374161, -0.0130553, 0.022253, -0.031254, -0.0399795, -0.0483529, 0.0563014, -0.0637551, 0.0706489, -0.0769227, -0.082522, -0.0873979, -0.0915081, -0.0948171, -0.0972959, 0.098924, 0.0996869, 0.0995783, 0.0986002, 0.0967611, 0.0940777, 0.0905737, -0.0862802, 0.0812351, -0.0754828, -0.0690736, -0.0620641, 0.0545156, 0.0464938, -0.0380693, 0.0293154, 0.0203083, 0.0111268, -0.00185064, -0.00743965, -0.0166631, 0.0257398, 0.0345912, -0.0431406, 0.0513142, -0.0590413, -0.0662554, 0.0728945, 0.0789016, -0.0842251, 0.0888201, 0.0926468, 0.0956736, -0.0978746, -0.0992313, 0.0997342, -0.0993789, -0.0981692, -0.0961163, 0.093239, 0.0895644, -0.0851227, 0.0799543, -0.0741041, 0.0676231, 0.0605676, -0.0529989, 0.0449821, -0.0365867, 0.0278842, 0.0189503, -0.00986032, -0.0006924, 0.00847578, 0.0175661, -0.0265018, -0.0352075, -0.0436105, 0.0516401, -0.0592292, -0.0663149, 0.0728392, -0.0787481, -0.0839925, -0.0885312, 0.092326, -0.0953477, 0.09757, -0.0989763, 0.0995541, 0.0992969, 0.0982048, 0.0962827, 0.0935422, -0.0900051, 0.0857204, -0.0810018, -0.0811062, 0.0686787, 0.00924093, 0.000346277, 6.96302e-06, 1.52751e-07, 2.64666e-07, 2.50545,
0.6, 1.67027, 0.0232125, -0.0363134, 0.0460634, -0.0534802, 0.0591935, 0.0636243, 0.0671436, 0.0704153, 0.0745087, -0.0796864, -0.0850213, 0.0897173, -0.0934534, -0.0961181, 0.0976562, -0.098034, 0.0972347, -0.095257, 0.0921164, -0.0878439, 0.0824882, 0.0761105, -0.0687866, -0.0606044, 0.0516659, 0.0420787, -0.0319623, 0.0214408, -0.0106442, 0.000293939, 0.0112386, 0.0220549, -0.0326096, -0.0427724, 0.0524186, 0.0614297, -0.0696947, -0.0771132, 0.0835943, -0.0890582, -0.0934395, 0.0966831, 0.0987519, 0.0996203, -0.0992776, 0.0977287, 0.0949924, -0.0911038, -0.0861096, -0.0800706, 0.0730611, 0.0651667, 0.0564831, 0.0471161, 0.0371795, -0.0267938, -0.0160851, -0.00518299, 0.00578052, 0.0166729, 0.0273624, 0.0377201, -0.0476209, 0.0569454, 0.0655815, 0.0734251, -0.080382, -0.0863686, 0.0913135, -0.0951569, 0.0978534, -0.0993708, 0.0996915, -0.098812, 0.0967434, -0.0935108, 0.089154, -0.0837255, 0.0772909, 0.0699282, 0.061726, -0.0527833, 0.0432074, -0.0331142, -0.0226243, 0.0118642, -0.000962822, 0.00994895, 0.0207402, -0.0312818, -0.0414473, -0.051115, 0.0601696, 0.0685023, 0.076014, -0.0826152, -0.0882269, -0.0927822, -0.0962275, -0.0985215, -0.0996373, -0.0995618, -0.0982973, 0.0958578, -0.0922739, -0.0875884, -0.0818577, 0.075151, -0.0675479, 0.05914, -0.0500277, -0.0403198, -0.0301326, -0.0195873, -0.00880983, 0.00207121, -0.0129265, -0.0236265, -0.034044, -0.0440553, -0.0535413, -0.0623896, -0.070495, 0.0777618, -0.0841036, 0.089446, 0.0937253, 0.0968919, -0.0989084, -0.0997512, 0.0994112, -0.0978929, -0.0952148, -0.0914093, 0.0865219, -0.0806112, -0.0737476, 0.0660128, 0.0574988, -0.0483069, 0.0385457, -0.0283311, -0.0177839, 0.00702884, -0.00380713, 0.0145961, -0.0252111, -0.0355271, -0.0454229, 0.0547823, 0.0634954, -0.071461, 0.0785857, 0.0847863, 0.0899907, -0.0941388, -0.0971843, 0.0990905, -0.0998372, 0.0994167, -0.097835, -0.0951117, 0.09128, -0.0863854, 0.0804865, -0.0736522, -0.0659649, 0.0575127, 0.0483957, 0.0387199, 0.0285985, -0.0181487, -0.0074915, 0.00325018, -0.0139526, 0.0244926, 0.0347502, -0.0446083, 0.0539548, 0.0626837, 0.0706973, -0.0779047, 0.0842262, -0.0895895, 0.0939359, -0.0972158, -0.0993905, -0.100434, -0.10033, -0.0990745, 0.0966807, -0.0931956, 0.0889631, 0.0898137, -0.0764249, -0.0103408, -0.000391185, -7.93009e-06, -1.37809e-07, -2.4729e-07, 2.89649,
0.7, 1.43347, 0.0273876, -0.0424938, 0.0534396, -0.061489, 0.0674272, 0.0717796, 0.0749984, 0.0778388, 0.0814493, -0.0860266, -0.0904725, 0.0938881, -0.0959261, -0.0964818, 0.095522, -0.0930462, 0.0890813, -0.0836796, 0.0769196, -0.0689027, 0.0597543, 0.0496181, -0.0386553, -0.0270409, 0.0149633, 0.00261593, 0.00980136, -0.0220883, 0.0340467, 0.0454828, 0.0562127, 0.0660638, -0.0748762, -0.0825089, 0.0888387, 0.0937643, -0.0972055, -0.0991082, 0.0994412, -0.0981984, -0.0954005, 0.0910898, 0.0853371, 0.0782331, -0.0698897, 0.06044, 0.0500334, -0.0388356, -0.0270235, -0.0147839, 0.00231079, -0.0101986, -0.0225468, -0.0345387, -0.045985, 0.0567055, 0.0665309, 0.0753067, 0.0828951, 0.0891761, 0.0940523, 0.0974463, -0.0993057, 0.0996015, 0.0983297, 0.0955108, -0.0911897, -0.0854346, 0.0783368, -0.070008, 0.0605796, -0.0502002, 0.039033, -0.0272536, 0.0150473, -0.00260565, -0.00987608, 0.0222018, -0.0341787, -0.0456185, -0.0563421, 0.0661823, -0.0749842, 0.0826108, 0.0889428, -0.0938814, 0.0973496, 0.0992939, 0.0996837, -0.098514, -0.0958031, -0.0915938, 0.0859527, 0.0789679, 0.0707495, -0.061426, -0.0511434, -0.0400626, -0.028357, -0.0162094, -0.00380964, 0.00864866, 0.0209712, -0.0329655, 0.0444447, 0.0552299, 0.065153, -0.0740601, 0.081812, -0.0882886, 0.0933892, 0.0970349, 0.0991693, 0.0997596, 0.0987972, 0.0962973, -0.0922996, -0.0868666, -0.0800829, -0.0720551, -0.0629078, -0.052784, -0.0418408, 0.0302487, -0.018188, 0.00584596, -0.00658567, -0.018914, 0.030948, 0.0425007, -0.0533936, 0.063458, 0.0725383, 0.0804942, -0.0872028, 0.0925611, 0.0964865, -0.0989188, -0.099821, 0.0991804, -0.097007, 0.0933352, 0.0882226, -0.0817486, -0.0740139, 0.0651383, -0.0552598, -0.0445303, -0.0331162, 0.0211934, 0.00894575, 0.00343817, -0.0157679, -0.0278539, -0.0395107, 0.0505593, 0.0608314, -0.0701693, 0.0784307, -0.0854898, 0.0912395, 0.0955928, -0.0984843, 0.0998705, -0.0997321, 0.098071, 0.0949162, -0.090314, -0.084337, -0.0770765, -0.0686442, 0.059168, 0.0487924, 0.0376744, -0.0259824, 0.0138929, 0.00158706, 0.01075, -0.0229341, -0.0347834, -0.046122, 0.0567812, -0.0666046, 0.0754455, -0.0831747, 0.0896774, 0.0948559, 0.0986314, 0.100944, 0.101754, -0.101045, 0.0988472, -0.0955189, -0.0973842, 0.0833486, 0.0113522, 0.000434213, 8.90606e-06, 1.05748e-07, 2.42465e-07, 3.29226,
0.8, 1.2564, 0.0317429, -0.0487966, 0.0607678, -0.0692068, 0.0750809, 0.0790383, 0.0816231, 0.0836776, 0.0863969, -0.0898794, -0.0928627, 0.0943716, -0.0940598, -0.0918573, 0.0877836, -0.0819053, 0.0743293, -0.0651989, 0.0546924, -0.0430181, 0.0304108, 0.017126, -0.00343357, 0.0103871, -0.0240526, -0.037283, 0.0498074, -0.0613686, 0.0717298, 0.080677, 0.0880277, 0.0936308, -0.0973687, -0.0991653, 0.0989814, 0.0968197, -0.0927207, -0.086767, 0.0790761, -0.0698013, -0.0591289, 0.0472707, 0.0344655, 0.0209691, -0.00705077, -0.00701039, -0.0209336, 0.0344409, 0.047262, 0.059141, -0.0698411, -0.0791486, -0.0868784, -0.092876, -0.0970226, 0.0992359, 0.099472, 0.0977266, 0.0940353, 0.088471, 0.0811465, 0.0722065, -0.0618302, 0.0502242, 0.0376194, 0.0242669, -0.0104324, 0.00360917, -0.0175787, 0.0311983, -0.044198, 0.0563194, -0.0673223, 0.0769884, -0.0851262, 0.0915744, -0.096206, 0.098929, -0.09969, -0.0984745, -0.0953066, 0.0902505, -0.0834056, 0.074909, 0.0649287, -0.053663, 0.0413351, 0.0281895, 0.0144864, -0.000497374, 0.0135009, 0.0272315, -0.0404229, -0.0528141, -0.0641603, 0.0742379, 0.0828475, 0.0898194, 0.0950163, 0.0983358, 0.0997127, 0.0991202, 0.0965714, -0.0921154, 0.0858417, 0.0778742, 0.0683706, -0.0575189, 0.0455331, -0.0326499, 0.0191236, 0.00522096, -0.00878374, -0.0226148, -0.0359996, -0.0486744, 0.0603902, 0.0709163, 0.0800455, 0.0875991, 0.0934282, 0.0974192, 0.0994935, -0.0996111, 0.0977703, -0.0940076, -0.0883974, -0.0810509, 0.0721125, 0.0617583, -0.0501921, 0.0376412, 0.0243521, 0.0105862, 0.00338675, -0.0172928, -0.0308588, 0.0438194, 0.0559206, -0.0669258, 0.0766201, -0.0848137, -0.0913471, 0.0960929, 0.0989591, -0.0998902, 0.0988693, 0.0959161, 0.0910898, -0.0844851, -0.0762314, 0.066491, -0.0554541, -0.0433359, -0.0303733, 0.0168192, 0.00293797, 0.0110012, -0.0247266, 0.0379716, -0.0504796, -0.0620079, 0.0723333, -0.0812562, 0.0886046, -0.0942361, -0.0980444, 0.0999541, 0.0999306, 0.0979744, 0.0941242, -0.0884539, -0.0810734, -0.0721242, 0.0617781, -0.0502332, -0.0377092, 0.0244452, -0.010693, 0.00328701, 0.0172303, -0.0308734, 0.0439606, -0.0562445, 0.0674953, -0.0775011, -0.0860721, -0.0930448, -0.0982836, -0.101682, 0.103172, -0.10274, 0.100735, 0.103894, -0.0895229, -0.0122865, -0.000475949, -9.86437e-06, -8.92498e-08, -2.48126e-07, 3.70336,
